motif_family	TF	std_over_alpha_traj	std_over_beta_traj	cc_over_alpha_traj	time_max_cc_over_alpha_traj	cc_over_beta_traj	time_max_cc_over_beta_traj	z_score
Snai1_Zeb1_Snai2	Zeb1	0.00199139486164713	0.000465090908074771	0.509123552234569	1	0.113121743125683	-1283	1.98036494750886
Snai1_Zeb1_Snai2	Snai2	0.00199139486164713	0.000465090908074771	NaN	NaN	NaN	NaN	1.98036494750886
Sox13	Sox13	0.0663408441111283	0.0745743536808767	0.254265645489478	-1653	0.880791316506971	-32	1.37449416205862
Sox5_Sry	Sox5	0.0175258802167049	0.00344959879861012	0.231873721756113	1535	0.208013170431031	-1624	1.46895225974181
Sox5_Sry	Sry	0.0175258802167049	0.00344959879861012	NaN	NaN	NaN	NaN	1.46895225974181
Sox6_Sox9	Sox6	0.00788706538207593	0.0118847675269918	0.959439237559943	-1	0.986534194469626	-1	1.85987575303609
Sox6_Sox9	Sox9	0.00788706538207593	0.0118847675269918	0.991462227773582	0	0.993680040921094	0	1.85987575303609
Sp1	Sp1	0.000969914341952728	0.00180164947373772	0.663411642490944	-94	0.189110035651629	1533	1.72992324252883
Sp2	Sp2	0.0020323634500309	0.00250504595980065	0.133286965103578	860	0.277554353159575	1474	1.51914347263056
Stat1	Stat1	0.00546781955256717	0.0114399633749646	0.565729586940829	0	0.933221588605673	0	1.48735242032536
Stat4_Stat3_Stat5b	Stat4	0.00601364695580079	0.00641967686821802	NaN	NaN	NaN	NaN	1.59661220215416
Stat4_Stat3_Stat5b	Stat3	0.00601364695580079	0.00641967686821802	0.862000645752268	0	0.270281476227536	1481	1.59661220215416
Stat4_Stat3_Stat5b	Stat5b	0.00601364695580079	0.00641967686821802	0.616689356028525	-44	0.0853676270864699	-1493	1.59661220215416
Taf1	Taf1	0.000365964545967486	0.00601201685598387	0.524562992952829	100	0.971108030258687	-1	1.20205864401929
Tcf3	Tcf3	0.00505414041796387	0.00848267786386469	0.928530568999208	-1	0.256284845170526	-1509	1.3182624382388
Tcf4_Mesp1	Tcf4	0.00327911824683629	0.00068374929067077	0.177384691588638	-1	0.756003619902829	62	2.18233237080161
Tcf4_Mesp1	Mesp1	0.00327911824683629	0.00068374929067077	NaN	NaN	NaN	NaN	2.18233237080161
Tcf7_Tcf7l2	Tcf7	0.0356682753594874	0.00319875070287802	NaN	NaN	NaN	NaN	2.05032223691811
Tcf7_Tcf7l2	Tcf7l2	0.0356682753594874	0.00319875070287802	0.303628945846221	1569	0.974593317323604	0	2.05032223691811
Tcf7l1	Tcf7l1	0.0104210214415396	0.0332930836563409	0.910267364455149	20	0.23499789871757	1525	2.19406819109363
Tead1	Tead1	0.00970591937837215	0.0140673009050897	0.265089315771118	-1503	0.961969167520302	-1	1.61307546249863
Tfcp2	Tfcp2	0.0471922447838168	0.0566412492628435	0.171534684656293	-964	0.798499030339489	-1	1.37472811053443
Tfcp2l1	Tfcp2l1	0.0083431646050173	0.00975813169913628	0.555381252379474	0	0.82669078253176	0	2.0215965750157
Tfdp1_Wt1_Egr2_Chd1_Pml	Tfdp1	0.00284319647954851	0.00190444269755099	NaN	NaN	NaN	NaN	1.90470747199554
Tfdp1_Wt1_Egr2_Chd1_Pml	Wt1	0.00284319647954851	0.00190444269755099	NaN	NaN	NaN	NaN	1.90470747199554
Tfdp1_Wt1_Egr2_Chd1_Pml	Egr2	0.00284319647954851	0.00190444269755099	NaN	NaN	NaN	NaN	1.90470747199554
Tfdp1_Wt1_Egr2_Chd1_Pml	Chd1	0.00284319647954851	0.00190444269755099	0.268259351468748	1584	0.210842170499416	1508	1.90470747199554
Tfdp1_Wt1_Egr2_Chd1_Pml	Pml	0.00284319647954851	0.00190444269755099	0.413164009340203	-146	0.220208179032216	1532	1.90470747199554
Tfeb_Usf1_Srebf1_Usf2_Bhlhe41_Srebf2	Tfeb	0.000621445798011853	0.00583625772450696	0.365085479081038	1652	0.276155785078806	-1523	1.08880056060617
Tfeb_Usf1_Srebf1_Usf2_Bhlhe41_Srebf2	Usf1	0.000621445798011853	0.00583625772450696	NaN	NaN	NaN	NaN	1.08880056060617
Tfeb_Usf1_Srebf1_Usf2_Bhlhe41_Srebf2	Srebf1	0.000621445798011853	0.00583625772450696	NaN	NaN	NaN	NaN	1.08880056060617
Tfeb_Usf1_Srebf1_Usf2_Bhlhe41_Srebf2	Usf2	0.000621445798011853	0.00583625772450696	0.309535766187989	1635	0.252811667561906	-729	1.08880056060617
Tfeb_Usf1_Srebf1_Usf2_Bhlhe41_Srebf2	Bhlhe41	0.000621445798011853	0.00583625772450696	NaN	NaN	NaN	NaN	1.08880056060617
Tfeb_Usf1_Srebf1_Usf2_Bhlhe41_Srebf2	Srebf2	0.000621445798011853	0.00583625772450696	0.219047781822819	1546	0.873753751810712	-57	1.08880056060617
Tgif1_Meis3	Tgif1	0.0145824759269696	0.0197602800383501	NaN	NaN	NaN	NaN	1.63079571884204
Tgif1_Meis3	Meis3	0.0145824759269696	0.0197602800383501	0.965406140597676	0	0.994109752796957	0	1.63079571884204
Tgif2_Tgif2lx1	Tgif2	0.00957280676675214	0.0120805760620831	0.837755671781312	0	0.921281337256203	0	2.19632642661687
Tgif2_Tgif2lx1	Tgif2lx1	0.00957280676675214	0.0120805760620831	NaN	NaN	NaN	NaN	2.19632642661687
Thra	Thra	0.0193109970552941	0.00969066350121538	0.698412010770269	-1	0.971451548194383	-1	1.86381073627826
Trp53	Trp53	0.0144512025300482	0.00970280163774925	0.956434762377214	0	0.980733885998724	9	1.88030323804041
Ubp1	Ubp1	0.0157516816932903	0.00733802672131295	0.238788908217572	1494	0.148007005007996	-344	2.09119349072568
Vdr	Vdr	0.0207516761870033	0.0109222649464783	0.567227848270217	0	0.989576960982051	0	1.64582111684341
Xbp1_Creb3l1	Xbp1	0.0029150077769615	0.034210334429017	0.759928549659202	0	0.991512235199914	0	2.15452627831496
Xbp1_Creb3l1	Creb3l1	0.0029150077769615	0.034210334429017	0.329900259809527	784	0.244187671623263	1523	2.15452627831496
Ybx1_Nfya_Nfyb_Nfyc_Cebpz	Ybx1	0.00382795928586116	0.00161962629308998	0.988681932983402	0	0.993310809211533	1	1.25127468264393
Ybx1_Nfya_Nfyb_Nfyc_Cebpz	Nfya	0.00382795928586116	0.00161962629308998	0.897451101879945	-5	0.675668692796884	-106	1.25127468264393
Ybx1_Nfya_Nfyb_Nfyc_Cebpz	Nfyb	0.00382795928586116	0.00161962629308998	0.275276540677458	-1506	0.942216852581253	0	1.25127468264393
Ybx1_Nfya_Nfyb_Nfyc_Cebpz	Nfyc	0.00382795928586116	0.00161962629308998	0.773213130205234	-1	0.861054893568068	-1	1.25127468264393
